ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
ABEN WO HA FAST FOOD,OPPOSITE ABLAZE BOUTIQUE,AMANKYEM ROAD,TUTUKA,OBUASI,,249681806,Restaurants and mobile food service activities
ABEN WOHA SPOT,OPPOSITE KING TEKU HERNAL AND SURGICAL CENTRE,BOETE ROAD,BOETE,OBUASI,,NULL,Beverage serving activities
ABENA ACHEAMPOMAA'S STORE,ADJACENT AGA PURCHASING DEPARTMENT,GOLDFINGER EAST ROAD,ETS NEAR THE ROUND ABOUT,OBUASI,,NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
ABENA BEAUTY SALON,AT THE CENTRAL POLICE STATION,POLICE WALK ROAD,CENTRAL,OBUASI,,NULL,Hairdressing and other beauty treatment
ABENA COMFORT'S PROVISIONS STORE,INFRONT OF HOUSE NO. AB 85/C,NEIBOURHOOD ROAD,ABOMPE,OBUASI,,261893336,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABENA ESAAH,ADJACENT MAMA CATHERINE'S CORNER,ANTWI SAMPA DRIVE,CENTRAL,OBUASI,,NULL,Retail sale of food in specialized stores
ABENA KOTUA PROVISION SHOP,BEHIND THE CHIEF'S PALACE,AHANSOYEWODEA STREET,AHANSONYEWODEA,OBUASI,,241667495,Retail sale of food in specialized stores
ABENA MANU BEER BAR,ADJACENT PRIAYVON HOTEL,PIRAYVON HOTEL ROAD,ABOMPR-NORTH NYAMEBEKYERE,OBUASI,,242999213,Beverage serving activities
ABENA'S PROVISION STORE,"ADJACENT SAFKANT, ANYIMADUKROM",,KWABRAFOSO,OBUASI,,546391382,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABI'S FASHION,BEHIND METHODIST SCHOOL,,TUTUKA,OBUASI,,249778076,"Manufacture of wearing apparel, except fur apparel"
ABIGAIL BREAD BAKERY,OPPOSITE HOUSE KTS 36/G,,KOKOTEASUA,OBUASI,,545286888,Retail sale of food in specialized stores
ABIGISS CATERING SERVICES,"OPPOSITE BIBLE BELIEVING CHURCH ,OFF OBUASI-KUMASI ROAD",,OBUASI,OBUASI,"P.O.BOX 1, OBUASI",NULL,Restaurants and mobile food service activities
ABISS CAFE,ADJACENT ADANSI HIGH INTERNATIONAL SCHOOL,,KWABRAFOSO,OBUASI,,244685164,Retail sale of beverages in specialized stores
ABLAZE BOUTIQUE,ADJACENT MARIAM BOUTIQUE,AKROFUOM ROAD,TUTUKA,OBUASI,,244385068,"Retail sale of clothing, footwear and leather articles in specialized stores"
ABORAPA WELDING SHOP,BEHIND ECG OFFICE,KOKOTEASUA ECG ROAD,ESTATE,OBUASI,,208200770,Manufacture of other fabricated metal products n.e.c.
ABOTAR  YEI PROVISIONS STORE,MAME ABA GYASIWA'S HOUSE BEHIND INDEPENDENCE JHS B,ATOPLANS ROAD,BRAHABEBOME,OBUASI,,540726369,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABOVE ALL ENTERPRISE,OPPOSITE FATTAK'S HOUSE,ABOMPE NEW ESTATE ROAD,OLD ESTATE,OBUASI,,276603558,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABRABO YE NTOBOASEA ENTERPRISE,OPPOSITE ST.PHILP'S CATHOLIC SCHOOL,ROMAN JUNCTION ROAD,BOETE,OBUASI,,248906537,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABRAHAM BLESSING'S ENTERPRISE,ADJACENT RAMCO SUPERMARKET,NKANSA I DRIVE,CENTRAL,OBUASI,"P. O. BOX 136, OBUASI",240164979,Other retail sale of new goods in specialized stores
ABRAHAM GRIBE,CENTRAL MARKET 'B STORE ADJACENT  AWO SEKYERE GTPSHOP,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,209011455,Manufacture of starches and starch products
ABRAHAM KWABI WELDING SHOP,ADJACENT GOIL FILLING STATION,BOETE ROAD,BOETE,OBUASI,"P. O. BOX 370, OBUASI",246761085,Treatment and coating of metals; machining
ABRANTE ONYAME NDAYE CENTER,BEHIND CHRIST APOSTOLIC CHURCH,BRYANT MISSION HOSPITAL RAOD,BOETE,OBUASI,,542903535,"Manufacture of wearing apparel, except fur apparel"
ABRANTEE SPOT,BEHIND CHRIST APOSTOLIC CHURCH,BRYANT MISSION ROAD,BOETE,OBUASI,,243669057,Restaurants and mobile food service activities
ABREFI STORE,OPPOSITE HOUSE NO. SC/27,KOKOTEASUA ROAD,OLD ESTATE,OBUASI,,NULL,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ABU BIOGAS COMPANY LIMITED,ADJACENT FIRST ALLIED SAVINGS AND LOANS LIMITED,EDUBIASE ROAD,ANTOBOASE,OBUASI,"P. O. BOX 1240, OBUASI",242522333,Construction of utility projects
ABU BONSRA GODDON CREDIT SHOP,OPPOSITE NYAME NAYE ENTERPRISE,AHANSONYEODEA MARKET STREET,AHANSONYEWODEA,OBUASI,,246307350,"Other retail sale not in stores, stalls or markets"
ABU BROTHER'S INTERNATIONAL SCHOOL,ABOAYEKROM BEHIND BRYANT MISSION GRAMMAR SCHOOL,ABU BROTHER'S STREET,ABOAGYEKROM,OBUASI,,262950166,Pre-primary and primary education
ABU WELDERING AND SLATING,BEHIND WAT 250,,KWABRAFOSO,OBUASI,,246594653,Manufacture of other fabricated metal products n.e.c.
ABUBRO KOSUA ENTERPRISE,HOUSE NO AH 91/C,TWO POLES ROAD,AHANSONYEWODEA,OBUASI,,246512393,Retail sale of beverages in specialized stores
ABUNDANT GRACE STORE,ADJACENT NEIGHBOURHOOD HOSPITAL,NEIGHBOURHOOD STREET,ABOMPE,OBUASI,,244858087,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABUSUA CHOP BAR,OPPOSITE BLOCK FACTORY,,OLD ESTATE,OBUASI,,246248368,Restaurants and mobile food service activities
ACHEAMONG AND SONS LIMITED,OPPOSITE NO JESUS NO LIFE ENTERPRISE,EDUBIASE ROAD,ANTOBOASE,OBUASI,"P. O. BOX 178, OBUASI",244277409,"Retail sale of hardware, paints and glass in specialized stores"
ACHEAMPONG CARPENTRY SHOP,ADJACENT KWABRAFOSO CHRUCH OF CHRIST,,SAMPSONKROM,OBUASI,,541049760,Manufacture of furniture
ACHECHRIS ENTERPRISE,OPPOSITE FIRST BAPTIST PREP. NEW NSU,,OBUASI,OBUASI,"P.O.BOX 812,, OBUASI",NULL,Other retail sale of new goods in specialized stores
ACHIE BARBERING SHOP,OPPOSITE ST. JOSEPH SCHOOL,,KWABRAFOSO,OBUASI,,242612727,Hairdressing and other beauty treatment
ACKAKWAY ENTERPRISE,OPPOSITE CRYSTAL EXCLUSIVE BOUTIQUE,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,244573410,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ACQUAH'S ELECTRICAL AND PHONE SHOP,OPPOSITE TOTAL FILLING STATION,WAWASI HIGH STREET,WAWASI,OBUASI,,246989819,"Retail sale of clothing, footwear and leather articles in specialized stores"
ACTION CHAPEL INTERNATIONAL,,,OBUASI,OBUASI,", OBUASI",NULL,Activities of religious organizations
ADADZEWA/SOPHIA MEMORIAL SCHOOL,,,OBUASI,OBUASI,"P.O.BOX 528, OBUASI",NULL,Pre-primary and primary education
ADAM GOLD BUYING CENTER,OPPOSITE GHANA -MALI FAST FOOD,AKAROFUOM ROAD,TUTUKA,OBUASI,,244583678,Other retail sale of new goods in specialized stores
ADAMA YABUKA'S KIOSK,AT A D B BANK,OBUASI HIGH STREET,FAGUM,OBUASI,,NULL,Retail sale of second-hand goods
ADAMS JUSTICE ENTERPRISE,OPPOSITE ST-JOSEPH SCHOOL,TUTUKA-OBUASI ROAD,KWABRAFOSO,OBUASI,,247019310,Retail sale of second-hand goods
ADAMS PROVISIONS STORE,BEHIND SULE AWUNI BOATS AND NUTS SHOP,OKOMFO AGYI ROAD,ESTATE,OBUASI,,540985714,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADAMS YEBOAH'S PROVISION STORE,INFRONT OF BOUSE NO. BE/105/B,SUNNET ROAD,BOETE,OBUASI,,541415164,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADAMSON VENTURES,OPPOSITE PEACE SOUNDZ,AMANKYEM ROAD,TUTUKA,OBUASI,,244256248,Other telecommunications activities
ADANA TIJANI FOOD JOINT,ADJACENT ROYAL GATE,,NEW ESTATE,OBUASI,,545857764,Restaurants and mobile food service activities
ADANSI AKYEAH ENTERPRISE,COCA COLA MINI DEPOT NYAMESO OBUASI,,OBUASI,OBUASI,"P.O. BOX 264, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADANSI ASOKWA GOIL SERVICE STATION,"BEHIND LORRY STATION, ASOKWA JUNCTION",,OBUASI,OBUASI,"P.O. BOX 648, OBUASI",NULL,Retail sale of automotive fuel in specialized stores
ADANSI BAPTIST ASSOCIATION,IN THE PREMISES OF 1ST BAPTIST CHURCH,,OBUASI,OBUASI,"P.O.BOX 389, OBUASI",NULL,Activities of trade unions
ADANSI COMM NETWORK LIMITED,,,OBUASI,OBUASI,"P.O. BOX 26, OBUASI",NULL,Wired telecommunications activities
ADANSI DIAGONISTIC CENTRE,"ADJACENT BOAHEN BEST SCHOOL ,BEDIEM OBUASI",,OBUASI,OBUASI,"P.O.BOX 253, OBUASI",NULL,Hospital activities
ADANSI GROUP VENTURES,INFRONT OF HOUSE NO. TT/35/C,,NKWADUM,OBUASI,"P. O. BOX 644, OBUASI",245267836,Manufacture of furniture
ADANSI HIGH INT. CANTEEN,,,OBUASI,OBUASI,"P. O. BOX 57, OBUASI",NULL,Restaurants and mobile food service activities
ADANSI HIGH INT. SCHOOL,,,OBUASI,OBUASI,"P.O.BOX 57, OBUASI",NULL,Pre-primary and primary education
ADANSI RURAL BANK LTD.,,,OBUASI,OBUASI,"P.O.BOX 35, OBUASI",NULL,"Trusts, funds and similar financial entities"
ADANSI TRAVELS,,,OBUASI,OBUASI,", OBUASI",NULL,Travel agency activities
ADD-VALUE COMPUTER HARDWARE AND BUSINESS SERVICES,OPPOSITE SUFRE GUEST HOUSE,BRAHABEBOME HIGH STREET,LOW COST,OBUASI,,243344968,Repair of communication equipment
ADDAI GORDON'S SHOP,OPPOSITE OBUASI MINE ROUND ABOUT STATUE,OBUASI HIGH STREET,ANTOBOASE,OBUASI,,243113388,Photographic activities
ADDISONS DRILL LIMITED,H/NO.NN 101 NEW N'BEKYERE-OBUASI,,OBUASI,OBUASI,"P.O.BOX 457, OBUASI",NULL,Mining of other non-ferrous metal ores
ADDO ZAINAB LICENSED CHEMICAL SHOP,ADJACENT HOUSE AB 55/B,NEAR STEADFAST ACADEMY,NEW ABOMPE,OBUASI,,246584010,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ADE NYINAA YE AWURADE CARPENTRY WORKSHOP,"BEHIND HOUSE NUMBER TT 5 C, NKWADUM",,TUTUKA,OBUASI,,249432496,Other specialized construction activities
ADEN ISLAM ENTER PROVISIONS STORE,ALONG THE MAIN DRAIN SEPARATING TUTUKA AND BOETE,OBIRI ASARE AND SONS COMPANY LTD,TIATIASO,OBUASI,,276192329,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADJEI UPHOLSTERY & FURNITURE WORKS,"OLDMAN COFFIE, JUNCTION NEAR CKC AKAPORISO",,OBUASI,OBUASI,"P.O. BOX 632,, OBUASI",NULL,"Retail sale of hardware, paints and glass in specialized stores"
ADJOA KYEREWAA'S BOUTIQUE,ADJACENT THE PUBLIC TOILET,PIPE LINE STREET,BOETE,OBUASI,,205097366,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADOLAB COLD STORE,HORSEY PARK STORE NO. 64 B,E.C.G ROAD,NWE NSUTA,OBUASI,,231234646,"Retail sale via stalls and markets of food, beverages and tobacco products"
ADOLF ENTERPRISE,BEHIND YAW FOSU PLAZA,,SAMPSONKROM,OBUASI,,242584962,Repair of consumer electronics
ADOM AKA KWA,ADJACENT J.B ADDAI CHEMICAL SELLER SHOP,ANTWI SAMPA DRIVE,CENTRAL,OBUASI,"P. O. BOX 355, OBUASI",243239367,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ADOM ASEDA ENTERPRISE,STORE NO. 109 HORESY PARK OPPOSITE THESSBEN STORE,THE CENTRAL MARKET,NEW NSUTA,OBUASI,,244958352,"Retail sale via stalls and markets of textiles, clothing and footwear"
ADOM BEAUTY AND HAIR SALON,BEHIND ALANGA HOUSE,,KWABRAFOSO,OBUASI,"P. O. BOX 4, OBUASI",248840234,Hairdressing and other beauty treatment
ADOM BEAUTY PALOUR,INFRONT OF HOUSE NNB/72/D,ABOMPE NEWSITE ROAD,NEW NYAMEBEKYERE,OBUASI,,242256348,Hairdressing and other beauty treatment
ADOM BEAUTY SALON,OPPOSITE MAVI'S STORE ALONG BRYANT MISSION SCHOOL,ALHAJI SEIDU'S STREET,ABOAGYEKROM,OBUASI,,240962060,Hairdressing and other beauty treatment
ADOM BEAUTY SALON,OPPOSITE ROYAL PRINTING PRESS,,KWABENAKWA,KWABENAKWA,,540817651,Hairdressing and other beauty treatment
ADOM BI KEKE ENTERPRISE,BEHIND WALA BEBA WAAKYE'S KIOSK,HOLY FAMILY ROAD,KOKOTEASUA,OBUASI,,245307503,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM COLD STORE,OPPOSITE STEPHEN'S FASHION,KOKOTEASUA ROAD,KOKOTEASUA,OBUASI,,541724601,Retail sale of food in specialized stores
ADOM COLD STORE,OPPOSITE HORSE PARK,NINE MILES STATION,ESTATE,OBUASI,,207652697,Retail sale of food in specialized stores
ADOM COLD STORE,OPPOSITE  RAF SOUNDS,,BIDIESO,OBUASI,,NULL,Retail sale of food in specialized stores
ADOM ELECTRONICAL SHOP,OPPOSITE CHRISTIANA'S SALON,KOKOTEASUA STATION,KOKOTEASUA,OBUASI,,543975450,Repair of consumer electronics
ADOM FARMS-OBUASI,,,OBUASI,OBUASI,", OBUASI",NULL,Growing of citrus fruits
ADOM LOCATION SHOP,ADJACENT GHANA EDUCATION OFFICE,EDUCATION ROAD,RAILWAYS,OBUASI,"P. O. BOX 477, OBUASI",245851918,Maintenance and repair of motor vehicles
ADOM MMOROSO HERBAL CLINIC,"OPPOSITE HOUSE NO. BH/20/B, NO WAY FOR SATAN",NO WAY FOR SATAN,BRAHABEBOME,OBUASI,,246418124,Hospital activities
ADOM NWANWASOUR PROVISIONS SHOP,OPPOSITE HOUSE  NO. KTS  18/F,,KOKOTEASUA POULTRY,OBUASI,,244853003,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM VENTURES,OPPOSITE BIG BOY CUTS,,OLD ESTATE,OBUASI,,NULL,Retail sale of food in specialized stores
ADONAI HEALTH CARE LTD,GROUND FLOOR LEXBENA SECURITY SERVICES LIMITEDBUILDING,BIDIEM MAIN ROAD,RIDGE,OBUASI,"P. O. BOX 697, OBUASI",208229300,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ADU GYAMBREH ENTERPRISE,BEHIND SAMUEL'S CHEMICAL SHOP,KOKOTEASUA ROAD,KOKOTEASUA,OBUASI,,243185943,"Retail sale of hardware, paints and glass in specialized stores"
ADU MICHEAL'S STORE,AGA HOSPITAL ROAD,,WAWASI,OBUASI,,NULL,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
ADUANA AGRO CHEMICAL,OPPOSITE SANTIAGO BUILDING,OKOFO SOBIN KAN II ROAD,CNETRAL,OBUASI,"P. O. BOX 49, OBUASI",279149977,Wholesale of agricultural raw materials and live animals
ADUBENZER FURNITURE,ADJACENT SUPER MAMBO HOTEL,,SAMPSONKROM,OBUASI,"P. O. BOX 906, OBUASI",246106415,Manufacture of furniture
ADUF ENTERPRISE,OPPOSITE TOTAL FILLING STATION,WAWASI HIGH STREET,WAWASI,OBUASI,"P. O. BOX 219, OBUASI",244776296,"Retail sale of hardware, paints and glass in specialized stores"
ADUMANUEL VENTURES,,,OBUASI,OBUASI,"P.O.BOX 6, OBUASI",NULL,Mining of other non-ferrous metal ores
ADVANCED INTERNATIONAL,,,OBUASI,OBUASI,"P.O.BOX 493, OBUASI",NULL,Pre-primary and primary education
ADWENPA YE BARBERING SALON,OPPOSITE AHANSONYEWODEA JUNCTION,AHANSONYEWODEA JUNCTION,AHANSONYEWODEA,OBUASI,,246713891,Hairdressing and other beauty treatment
ADWOA ANAAFI PROVISIONS SHOP,ADAJCENT OWUSU FODJOUR MARKET,YAW FOSU/MARKET LANE,KOKOTEASUA,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADWOA ANIMA'S STORE,ADJACENT OBRONI'S PRODUCTION MUSIC AND VIDEO,GOVERNMENT HILL AVE ROAD,CENTRAL,OBUASI,,NULL,Restaurants and mobile food service activities
ADWOA BOAHEMA 'S SHOP,ADJACENT THE INFORMATION CENTER,PENTECOST ROAD,BRAHABEBOME,OBUASI,,243214845,Retail sale of beverages in specialized stores
ADWOA BOAMAH VENTURES,"TIMBER MARKET, BEHIND GOIL FILLING STATION",BOETE ROAD,BOETE,OBUASI,,243331310,"Retail sale of hardware, paints and glass in specialized stores"
ADWOA NYAMEKYE'S DRINKING BAR,NKAPRO ASE NEAR THE FOOTBALL FIELD,AHANSONYEWODEA MPAPROASE,AHANSONYEWODEA,OBUASI,,NULL,Beverage serving activities
ADWOA TIMAA'S STORE,CENTRAL MARKET N STORE NO. 99,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,203996266,Other retail sale in non-specialized stores
ADWOA'S BOUTIQUE,BEHIND RUNNY'S SHOP,HEN COUP ROAD,ESTATE,OBUASI,,242240198,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADWOA'S STORE,STORE NO. 32 ON THE CENTRAL STATION ROAD,CENTRAL ROAD,OBUASI CENTRAL,OBUASI,,NULL,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ADWOA'S STORE,ADJACENT SATIAGO'S NIGHT CLUB,,CENTRAL,OBUASI,,203199732,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ADWUBI'S STORE,THREE STORES FROM ASEDA BEN ENTERPRISE,CENTRAL MARKET STREET,NEW NSUTA,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFFORDABLE SHOP,ADJACENT ASSEMBLY OF GOD CHURCH,RIDGE HOSPITAL ROAD,RIDGE,OBUASI,,243781407,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFIA AKYAA'S SHOP,BEHIND BOETE MARKET,BRYANT MISSION ROAD,BOETE,OBUASI,,540692552,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFIA ATAA TAILORING SHOP,OPPOSITE WESLEY EDUCATION COMPLEX,WESLEY EDUCATION COMPLEX ROAD,NEW NYAMEBEKYERE,OBUASI,,242388702,"Manufacture of wearing apparel, except fur apparel"
AFIA GIDO PROVISIONS SHOP,OPPOSITE HOUSE NO. KTS 39/C,,KOKOTEASUA,OBUASI,,542845000,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFIA KWARTEMAA'S PROVISION SHOP,ADJACENT ABEASE PARLIAMENT,,KWABRAFOSO,OBUASI,,245362382,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFIA KYEREWAA MATERIALS STORE,OPPOSITE MEN'S TAILORING SHOP,ANTWI SAMPA DRIVE ROAD,CNETRAL,OBUASI,,543526170,Retail sale of textiles in specialized stores
AFIA VEGETABLES,OPPOSITE OWUSU FODJOUR MARKET,YAW FOSU.MARKET LANE,KOKOTEASUA,OBUASI,,NULL,"Retail sale via stalls and markets of food, beverages and tobacco products"
AFIYA LOCAL DRINKS,NEXT TO NORMEANA SALON,,OLD ESTATE,OBUASI,,NULL,Retail sale of beverages in specialized stores
AFLAOLOME BOUTIQUE,KOO KWANKYE'S HOUSE ADJACENT BIG TEE HAIR CUT,AKROFUOM ROAD,TUTUKA,OBUASI,,244053490,"Retail sale of clothing, footwear and leather articles in specialized stores"
AFOAKWA ENTERPRISES LTD.,,,OBUASI,OBUASI,"P.O.BOX 381, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFOAKWA TAILORING SHOP,OPPOSITE MAA SERWAA COLD STORE,SAM JONAH ESTATE ROAD,KOFFIEKROM,OBUASI,,249921574,"Manufacture of wearing apparel, except fur apparel"
AFRA'D GRILL,OPPOSITE SUPER MAMBO HOTEL,,TUTUKA,OBUASI,,243524500,Restaurants and mobile food service activities
AFRAKUMAH ADWOA SEWING CENTER,OPPOSITE ASSEMBLY MAN SPOT,,NEW ESTATE,OBUASI,,243929230,"Manufacture of wearing apparel, except fur apparel"
AFRICAN FAITH TERBANACLE CHURCH,OPPOSITE JEHOVAH EXPERIMENTAL SCHOOL,ATOPLANS ROAD,BRAHABEBOME,OBUASI,"P. O. BOX 322, OBUASI",245951922,Activities of religious organizations
AFRICAN INSTITUTE OF NEW TECHNOLOGY,OPPOSITE HOMASE JUNCTION,,OBUASI-ADANSI,OBUASI,"P. O. BOX 173,, OBUASI-ADANSI",NULL,Higher education
AFRICAN ROOTS CO. LTD,"MOBITEL BUILDING, OBUASI",,OBUASI,OBUASI,"P.O. BOX 475, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFRIQUE EQUIPMENT LIMITED,H/NO. ZO14A ZONGO BEFORE PRESBY CHURCH OBUASI,,OBUASI,OBUASI,"P.O.BOX 56, OBUASI",NULL,Other retail sale of new goods in specialized stores
AFRIYIE CHARCOAL SHOP,OPPOSITE AKELEBONA SALON,,OLD ESTATE,OBUASI,,241305288,Other retail sale of new goods in specialized stores
AFUA AMOAHI'S FOOD JOINT,ADJACENT HOUSE NO. WJS 73,WAWASI,WAWASI,OBUASI,,NULL,Restaurants and mobile food service activities
AFUA DECORATIVE CENTRE,ADJACENT AKROFUOM RURAL BANK,TUTUKA ROAD,SAMPSONKROM,OBUASI,,244509904,"Manufacture of wearing apparel, except fur apparel"
AGA CLUB HOUSE (JUNIOR CLUB),AGA JUNIOR CLUB HOUSE,,WAWASI,OBUASI,,NULL,Beverage serving activities
AGA FARMS (EGG DEPOT),"ADJACENT A LIFE SUPER MARKET, ALSO BEAR PRISONS",OBAUSI HIGH STREET,FAGUM,OBUASI,"P. O. BOX 10, OBUASI",NULL,Retail sale of food in specialized stores
AGA OBUASI COMMUNITY TRUST FUND,,,OBUASI,OBUASI,", OBUASI",NULL,"Trusts, funds and similar financial entities"
AGA-EMPLOYEES'PROVIDENT FUND,SAME PREMISES WITH A.G.A.OFFICES,,OBUASI,OBUASI,"P.O.BOX 10, OBUASI",NULL,Other credit granting
AGAABE ARTS,OPPOSITE JOHN MENSAH'S HOUSE,WAWASI HIGH STREET,WAWASI,OBUASI,,242682734,"Photocopying, document preparation and other specialized office support activities"
AGARTAA'S FASHION CENTRE,OPPOSITE HOUSE NO. OA 20/B,NEAR OLD CITY TEMPLE CHURCH,OLD ABOMPE,OBUASI,,243005134,"Manufacture of wearing apparel, except fur apparel"
AGARTHA ENTERPRISE,"OPPOSITEV KOFAS ALUMINIUM AND GLASS WORK, TUTUKA",AMANKYEM ROAD,TUTUKA,OBUASI,,240380662,"Retail sale of clothing, footwear and leather articles in specialized stores"
AGELINA PINKRAH'S JEWELLERY SHOP,OPPOSITE KUMASI STATION,ALONG CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,243576042,Other retail sale of new goods in specialized stores
AGEORGIA BARBERING SHOP BY THE GRACE OF GOD,INFRONT OF HOUSE NO. MK/28/A,MENSAHKROM STREET,MENSAHKROM,OBUASI,,246556952,Hairdressing and other beauty treatment
AGGIE'S FUNERAL DECORATION,BEHIND METRO MASS TRANSPOR TERMINAL,,RAILWAYS,OBUASI,,546436716,Funeral and related activities
AGIE WOODE ENTERPRISE,STORE NUMBER 38,,CENTRAL MARKET,OBUASI,"P. O. BOX C 1, OBUASI",243351959,"Retail sale via stalls and markets of food, beverages and tobacco products"
AGNES ACHEAMPONG,CENTRAL MARKET 'B FOOS LINE STORE NO. 22,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,544744523,"Retail sale via stalls and markets of textiles, clothing and footwear"
AGNES AGYEMANG DUAH'S STORE,STORE NO. 10 AND ADJACENT STORE NO. 9,CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,244458953,"Retail sale via stalls and markets of food, beverages and tobacco products"
AGNES MENSAH'S SHOP,OPPOSITE AMANCHIM STATION,TUTUKA -AKROFUOM ROAD,TUTUKA,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGNES WINFUL,ADJACENT APATA KESIEMU,ANTWI SAMPA DRIVE,CENTRAL,OBUASI,,243582337,"Retail sale of clothing, footwear and leather articles in specialized stores"
AGNESS OBIDIEABA'S STORE,STORE NO. 68 OPPOSITE RICE SELLER'S  VAN.,CENTRAL MUNICIPAL RAOD,CENTRAL MUNICIPAL,OBUASI,,246805218,"Retail sale via stalls and markets of food, beverages and tobacco products"
AGOPEE SURGICAL ENTERPRISE,DOWN STAIRS OF ORACLE MICRO FINANCE,NKANSAH I DRIVE,CENTRAL,OBUASI,,244127890,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
AGRICULTURAL DEVELOPMENT BANK,ADJACENT OBUASI LOCAL PRISONS,,,OBUASI,"PMB, OBUASI",NULL,Other monetary intermediation
AGRICULTURE-OBUASI,,,OBUASI ASH.,OBUASI,", OBUASI ASH.",NULL,Activities of amusement parks and theme parks
AGYA ANNOR'S SHOEMAKING SHOP,OPPOSITE BOSS HERBAL SHOP,AMANKYEM ROAD,TUTUKA,OBUASI,,248626141,Manufacture of footwear
AGYA KWABENA ENTERPRISE,"TIMBER MARKET, BEHIND GOIL FILLING STATION",BOETE ROAD,BOETE,OBUASI,,248211015,"Retail sale of hardware, paints and glass in specialized stores"
